ID,WAR,G,OPS,wOBA,wRC+,WPA,BB/K,IsoP,IsoD,BABIP,Spd,pLI,Clutch,P/PA
µÎ»ê-55,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NC-32,-0.39,17,0.48,0.233,21.9,-0.34,0.11,0.041,0.031,0.25,1.2,-0.34,-0.35,3.71
SSG-6,0,10,0.634,0.286,57.9,-0.35,0.25,0.105,0.108,0.267,2.1,-0.35,-0.15,3.58
µÎ»ê-22,0.29,27,0.71,0.342,96.9,-0.05,0.5,0.056,0.071,0.351,2.5,-0.05,-0.16,3.85
µÎ»ê-31,-0.11,13,0.484,0.256,39.3,-0.45,1,0.036,0.163,0.182,3.7,-0.45,-0.26,4.22
LG-67,0,1,0,0,0,0,0,0,0,0,0,0,0,0
»ï¼º-52,0.07,17,0.726,0.333,84.8,-0.16,0.2,0.17,0.045,0.286,1.8,-0.16,0.21,3.82
KT-22,0.31,33,0.695,0.32,77.9,-0.08,1.14,0.118,0.106,0.244,1.3,-0.08,0,3.9
KT-23,0.43,34,0.71,0.355,100.6,0.47,1.67,0.026,0.127,0.314,3.5,0.47,0.24,4.15
LG-56,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KT-54,-0.03,7,0.4,0.193,-5.9,-0.05,0,0,0,0.25,3.9,-0.05,-0.07,2
Å°¿ò-19,0.14,35,0.673,0.318,76.7,0.21,1,0.086,0.104,0.28,6.2,0.21,0.02,4.45
Å°¿ò-51,1.92,37,0.939,0.442,159,0.34,1.85,0.134,0.101,0.385,5.9,0.34,1.1,4.02
Å°¿ò-56,0.12,26,0.697,0.32,78.5,-0.01,1,0.068,0.038,0.31,4.6,-0.01,-0.09,2.98
KIA-16,0.86,35,0.794,0.372,111.7,0.69,0.55,0.067,0.056,0.388,7.5,0.69,0.75,3.76
·Ôµ¥-49,-0.02,12,0.539,0.26,37.4,-0.03,0.22,0.08,0.059,0.313,5.9,-0.03,-0.09,3.3
µÎ»ê-51,0.3,24,0.796,0.395,128.9,0.31,1.11,0.083,0.157,0.37,7.4,0.31,0.17,4.09
KIA-23,0.11,17,1.125,0.552,229.7,-0.16,1,0,0.125,0.6,4.1,-0.16,0.08,2.88
ÇÑÈ­-24,-0.87,27,0.44,0.212,8.5,-0.75,0.17,0.076,0.06,0.232,2.7,-0.75,-0.84,3.77
SSG-14,1.73,34,0.998,0.446,162.1,1.71,0.69,0.27,0.119,0.338,4.1,1.71,1.53,4.35
µÎ»ê-12,0.26,16,0.814,0.395,131.6,0.69,0.6,0.08,0.094,0.4,2.7,0.69,0.09,3.86
µÎ»ê-9,0.95,33,0.9,0.411,148.5,0.25,1.5,0.168,0.06,0.325,2.6,0.25,0.89,3.41
SSG-53,1.01,19,1.013,0.458,170.7,0.75,0.31,0.243,0.04,0.404,2.9,0.75,0.74,4.19
µÎ»ê-13,1.27,33,0.858,0.403,138.7,0.15,0.91,0.093,0.052,0.376,2.7,0.15,0.6,3.73
·Ôµ¥-8,1.05,35,0.824,0.394,125.9,0.73,1.6,0.093,0.11,0.333,2.9,0.73,0.74,3.9
·Ôµ¥-9,1.09,31,0.904,0.416,138.5,0.34,0.81,0.19,0.103,0.363,4,0.34,0.44,4.34
·Ôµ¥-33,0.19,8,1,0.472,175.9,0.37,0,0.077,0,0.75,3.1,0.37,0.03,4
NC-35,0.04,18,0.718,0.36,105.8,0.1,0.6,0,0.082,0.412,2.9,0.1,0.04,4.2
»ï¼º-44,0.16,16,0.792,0.369,109,0.17,0.57,0.175,0.091,0.317,2.1,0.17,0.13,4.45
KIA-41,0.01,2,0,0,0,-0.04,0,0,0,0,0,-0.04,-0.05,5
KIA-34,-0.2,24,0.685,0.317,80.1,-0.07,1.25,0.133,0.151,0.2,1.2,-0.07,0.29,4.11
ÇÑÈ­-30,0.24,30,0.708,0.336,90.3,-0.11,0.35,0.061,0.062,0.392,3.1,-0.11,-0.28,3.43
KIA-22,0.5,35,0.757,0.358,104.7,0.34,1.31,0.119,0.078,0.295,2.4,0.34,0.17,3.75
ÇÑÈ­-43,1.19,36,0.791,0.389,125.8,0.29,1.26,0.087,0.153,0.35,5.6,0.29,0.41,4.66
SSG-54,0.06,26,0.555,0.299,65.9,-0.16,1.33,0.048,0.184,0.18,4.6,-0.16,-0.2,4.16
KIA-42,0.02,21,0.618,0.285,54.7,-0.75,0.28,0.037,0.063,0.389,2.2,-0.75,-0.27,3.79
·Ôµ¥-36,0.06,16,0.674,0.334,87,-0.3,0.33,0.031,0.08,0.45,3.8,-0.3,-0.06,4.11
Å°¿ò-29,0.01,3,0.333,0.26,0,0,0,0,0.333,0,0,0,-0.03,3.67
SSG-4,0.08,1,1.2,0.521,211.2,0.09,0,0.4,0,0.667,5.9,0.09,0.06,4
µÎ»ê-8,0,1,0,0,0,0,0,0,0,0,0,0,-0.02,5
KT-17,0.09,2,1.333,0.642,285.3,0,0,0,0,1,1.9,0,0.02,3.33
LG-58,0.13,16,0.861,0.392,128.2,-0.15,0.43,0.191,0.099,0.4,5.9,-0.15,0.12,4.31
